Nº de ingreso,Signatura,Forma,Tema,Autor,Fecha,Color,Lugar,Descripción,Palabras claves,Medidas,Observaciones,Manchas,Roturas,Escrituras,Pérdida de elementos,Rayaduras,Dobleces,Pérdida de color,Otros deterioros
119,ELE-0103,Fotografía,Edificio público,C.H.,1890,b/n,Plaza del Congreso,Sala de sesiones de la antigua Cámara de Diputados,,212x158,Foto de foto,no,no,no,no,no,no,no,no
120,ELE-0104,Fotografía,Edificio público,s/a,1900,b/n,Plaza del Congreso,Sala de sesiones de la antigua Cámara de Senadores,,214x160,,no,no,no,no,no,no,no,no
121,ELE-0105,Fotografía,Edificio público,s/a,1900,b/n,Plaza Mayor de Lima,Sala de sesiones de la Municipalidad de Lima,,218x161,,no,no,no,no,no,no,no,no
122,ELE-0106,Fotografía,Edificio público,s/a,1917,b/n,Plaza Mayor de Lima,"Fachada del antiguo edificio de la Municipalidad de Lima, durante el incendio",,217x165,,no,no,si,no,no,no,no,no
123,ELE-0107,Fotografía,Edificio público,s/a,1890,b/n,Plaza Mayor de Lima,Salón de recepciones del antiguo Palacio Municipal. Municipalidad de Lima,,238x179,,no,no,no,no,no,no,no,no
124,ELE-0108,Fotografía,Evento social,s/a,1905,b/n,Plaza Mayor,Baile en el Palacio Municipal. Municipalidad de Lima,,239x175,,no,no,no,no,no,no,no,no
125,ELE-0109,Fotografía,Imagen de guerra,s/a,1866,b/n,Callao,Vista de un aspecto del Fuerte Maipú durante el Combate del 2 de Mayo,,227x148,Foto de publicación,no,no,si,no,no,no,no,no
126,ELE-0110,Fotografía,Imagen de guerra,s/a,1886,b/n,Lima,Homenaje en el cementerio a los españoles caidos en el Combate del 2 de Mayo,,239x180,,no,no,no,no,no,no,no,no
127,ELE-0111,Fotografía,Imagen de guerra,s/a,1866,b/n,Callao,Combate del 2 de Mayo,,240x176,Foto de pintura,no,no,no,no,no,no,no,no
128,ELE-0112,Fotografía,Imagen de guerra,s/a,1886,b/n,Callao,Combate del 2 de Mayo,,218x092,Foto de pintura,no,no,no,no,no,no,no,no
129,ELE-0113,Fotografía,Personaje,s/a,s/f,b/n,Lima,José Ramón Rodil. Retrato de 3/4,,159x217,Foto de pintura,no,no,no,no,no,no,no,no
130,ELE-0114,Fotografía,Imagen de guerra,s/a,s/f,b/n,Ayacucho,Batalla de Ayacucho,,239x150,Foto del óleo de Francisco González Gamarra. Muy borroso,no,no,no,no,no,no,no,no
131,ELE-0115,Postal,Edificio público,s/a,1860,b/n,Rímac,Vista panorámica de la Plaza de Acho,,140x90,Ver: ELE-117,no,no,no,no,no,no,no,no
132,ELE-0116,Fotografía,Imagen de guerra,s/a,1866,b/n,Callao,Combate del 2 de Mayo. Cañón del pueblo,,253x204,,no,no,no,no,no,no,no,no
134,ELE-0117,Fotografía,Edificio público,s/a,1860,b/n,Rímac,Vista panorámica de la Plaza de Acho,,230x147,Foto de grabado. Ver: ELE-115. Ver fotografía nº de ingreso 133,no,no,no,no,no,no,no,no
133,ELE-0117,Fotografía,Edificio público,s/a,1860,b/n,Rímac,Vista panorámica de la Plaza de Acho,,232x149,Foto de grabado. Ver: ELE-115,no,no,no,no,no,no,no,no
135,ELE-0118,Fotografía,Estampa costumbrista,s/a,1905,b/n,Rímac,Corrida de toros en Acho. Matador Padilla. Se aprecia un aspecto de los tendidos,,239x180,,no,no,no,no,no,no,no,no
136,ELE-0119,Fotografía,Estampa costumbrista,V.E. Velezmoro L.,1902,b/n,Rímac,Corrida de toros en Acho. Suerte nacional a caballo por Juan Francisco Céspedes,,238x181,,no,no,no,no,no,no,no,si
137,ELE-0120,Fotografía,Estampa costumbrista,s/a,1899,b/n,Rímac,Corrida de toros en Acho. Faena de Gallozo,,235x180,Foto de foto. Bastante borrosa,no,no,no,no,no,no,no,no
138,ELE-0121,Fotografía,Estampa costumbrista,s/a,1906,b/n,Rímac,Corrida de toros en Acho. Se aprecia un aspecto de los tendidos y el mirador,,240x180,,no,no,no,no,no,no,no,no
139,ELE-0122,Fotografía,Estampa costumbrista,s/a,1915,b/n,Rímac,Corrida de toros en Acho del torero Sánchez Mejía. Muy borrosa,,211x178,Foto de publicación. Se aprecian retoques anteriores en lápiz,no,no,no,no,no,no,no,no
141,ELE-0123,Fotografía,Estampa costumbrista,s/a,1900,b/n,Rímac,Corrida de toros en Acho. Se aprecia un aspecto de los tendidos,,241x180,Ver fotografía nº de ingreso 140,no,no,no,no,no,no,no,no
140,ELE-0123,Fotografía,Estampa costumbrista,s/a,1900,b/n,Rímac,Corrida de toros en Acho. Se aprecia un aspecto de los tendidos,,241x180,,si,no,no,no,no,no,no,no
142,ELE-0124,Fotografía,Estampa costumbrista,s/a,1917,b/n,Rímac,"Corrida de toros en Acho del torero Rodolfo Gaona ""El Indio""",,217x140,Foto de publicación,no,no,no,no,no,no,no,no
143,ELE-0125,Fotografía,Estampa costumbrista,s/a,1906,b/n,Rímac,Corrida de toros en Acho. Se aprecia un aspecto de los tendidos,,241x180,,si,no,no,no,no,no,no,no
144,ELE-0126,Fotografía,Estampa costumbrista,V.E. Velezmoro L.,1902,b/n,Rímac,Corrida de toros en Acho. Suerte nacional a caballo Juan Francisco Céspedes,,239x181,,no,no,no,no,no,no,no,si
145,ELE-0127,Fotografía,Estampa costumbrista,s/a,1908,b/n,Rímac,Corrida de toros en  Acho. Se aprecia un aspecto de los tendidos y el público,,234x180,,no,no,no,si,no,no,no,no
146,ELE-0128,Fotografía,Vida política,s/a,s/f,b/n,Lima,1er. Congreso Constituyente en San Marcos en la Iglesia de la Caridad (hoy desaparecida),,219x160,Fotografía de dibujo. Autor: Kauffmann,no,no,no,no,no,no,no,no
147,ELE-0129,Fotografía,Vida política,s/a,1822,sepia,Lima,1er. Congreso Constituyente enla capilla de la Universidad de  San Marcos,,227x140,Fotografía de grabado,si,no,no,no,no,no,no,no
148,ELE-0130,Fotografía,Vida política,s/a,1895,sepia,Plaza Mayor de Lima,Tropas de Nicolás de Piérola en la toma del palacio de gobierno durante la revolucion de 1885,,222x158,Foto de foto,no,no,si,no,no,si,no,no
149,ELE-0131,Fotografía,Vida política,s/a,1895,sepia,Plazuela del Teatro. Jr. Huancavelica,"Barricadas, tropas y civiles en la calle Plazuela del Teatro durante la revolución de Piérola",,230x169,Foto de foto,no,no,si,no,no,no,no,no
150,ELE-0132,Fotografía,Vida política,s/a,1872,b/n,Plaza Mayor de Lima,Revolución de los hermanos Gutiérrez. Turbas arrastrando los cadáveres de dichos hermanos en la Plaza Mayor,,220x159,Foto de grabado de Kebusen. Ver: ELE-170,no,no,no,no,no,no,no,no
151,ELE-0132,Fotografía,Vida política,s/a,1872,b/n,Plaza Mayor de Lima,Revolución de los hermanos Gutiérrez. Turbas arrastrando los cadáveres de dichos hermanos en la Plaza Mayor,,219x159,Foto de grabado de Kebusen. Ver fotografía nº de ingreso 150,no,no,no,no,no,no,no,no
152,ELE-0133,Fotografía,Vida política,s/a,1872,b/n,Lima,Revolución de los hermanos Gutiérrez. Turbas quemando los cadáveres de dichos hermanos,,159x218,Foto de grabado,no,no,no,no,no,no,no,no
153,ELE-0134,Fotografía,Vida política,s/a,1909,b/n,Plaza Mayor de Lima,Llegada del presidente Leguía y de José Pardo a la Plaza de Armas,,219x178,,no,no,si,no,no,no,no,no
154,ELE-0135,Fotografía,Vida política,s/a,1930,b/n,Lima,Grupo de personas a bordo de un automóvil durante la insurrección de Luis Sánchez Cerro,,216x158,Foto de foto,no,no,no,no,no,no,no,no
155,ELE-0136,Fotografía,Vida política,s/a,1904,b/n,Plaza Mayor de Lima,Llegada del presidente José Pardo a la Plaza de Armas. Se aprecia un aspecto del Palacio de Gobierno; asimismo uno de los coches del tranvía jalado a caballos de la ruta Descalzos-Exposición,,253x204,,no,no,no,no,no,no,no,no
156,ELE-0137,Fotografía,Vivienda,s/a,s/f,b/n,Rímac,"Aspecto general de la casa de Micaela Villegas ""La Perricholi"" y de sus alrededores; hoy desaparecida",,99x61,Foto de grabado. Ver: ELE-150,no,no,no,no,no,no,no,no
157,ELE-0138,Fotografía,Vista panorámica,s/a,s/f,b/n,Lima,Vista panorámica (aérea) del centro histórico de Lima. Se aprecia claramente la Catedral de Lima,,240x180,,no,no,no,no,no,no,no,no
158,ELE-0139,Fotografía,Vista panorámica,s/a,s/f,b/n,Lima,"Vista panorámica de la Plaza Mayor de Lima, se",,240x180,,si,no,no,no,no,no,no,si
159,ELE-0140,Fotografía,Vista panorámica,s/a,s/f,b/n,Lima,Vista panorámica del centro histórico de Lima. Se aprecian la Plaza Mayor y la catedral,,240x180,,no,no,no,no,no,no,no,no
160,ELE-0141,Fotografía,Arte,s/a,1890,b/n,Lima,Esculturas de la Alameda de los Descalzos. Ver: ELE-183,,96x68,,no,no,no,no,no,no,no,no
161,ELE-0142,Fotografía,Plaza y Parque,s/a,1918,b/n,Lima,"Elefante ""Panchito"" del zoológico de Parque de la Exposición",,225x142,,no,no,no,no,no,no,no,no
162,ELE-0143,Fotografía,Personaje,s/a,1910,b/n,s/l,"Retrato de cuerpo entero de Hiram Bingham, descubridor de Machupicchu",,156x219,Foto de foto,no,no,no,no,no,no,no,no
163,ELE-0144,Fotografía,Edificio público,s/a,1906,b/n,Lima,"Estación de ferrocarriles ""San Juan de Dios"". Llegada de Mr. Root",,219x157,,no,no,si,no,no,no,no,no
164,ELE-0145,Fotografía,Arte,s/a,s/f,b/n,s/l,Pintura de la  fundación de Lima,,228x149,Foto de foto,no,no,no,no,no,si,no,no
165,ELE-0146,Fotografía,Arte,s/a,s/f,b/n,s/l,Pintura del virrey Amat y la Perricholi de Francisco González Gamarra,,180x242,,no,no,no,no,no,no,no,no
166,ELE-0147,Fotografía,Arte,s/a,s/f,b/n,s/l,Pintura sobre la fundación de Lima,,190x115,,no,no,si,no,no,no,no,no
167,ELE-0148,Fotografía,Documento,s/a,s.XVIII,b/n,Callao,Plano del Real Felipe,,231x135,,no,no,no,no,no,no,no,no
168,ELE-0149,Fotografía,Alameda,s/a,s/f,b/n,Rímac,Vista general del Paseo de Aguas,,220x160,Foto de grabado,no,no,no,no,no,no,no,no
170,ELE-0150,Fotografía,Vivienda,s/a,s/f,b/n,Rímac,"Aspecto general de la casa de Micaela Villegas ""La Perricholi"" y de sus alrededores; hoy desaparecida, al fondo la coronación de la fuente del  Paseo de Aguas",,227x112,Foto de grabado. Ver: ELE-137,no,no,no,no,no,no,no,no
172,ELE-0150,Fotografía,Vivienda,s/a,s/f,b/n,Rímac,"Aspecto general de la casa de Micaela Villegas ""La Perricholi"" y de sus alrededores; hoy desaparecida, al fondo la coronación de la fuente del  Paseo de Aguas",,239x155,Foto de grabado. Ver: ELE-137. Ver fotografía nº de ingreso 170,no,no,no,no,no,no,no,no
171,ELE-0151,Fotografía,Calle,s/a,s/f,b/n,Lima,Vista general de la calle de Valladolid,,218x143,Foto de grabado,no,no,no,no,no,no,no,no
173,ELE-0152,Fotografía,Calle,s/a,s/f,b/n,Lima,Vista general de las calles Coca y Bodegones,,240x168,Foto de grabado,no,no,si,no,si,no,no,no
174,ELE-0153,Fotografía,Vivienda,s/a,1841-1844,b/n,Rímac,"Vista general de la casa de Micaela Villegas ""La Perricholi""",,226x150,Foto de grabado de Max Radiguet,no,no,si,no,no,no,no,no
175,ELE-0154,Fotografía,Monumento,s/a,s/f,b/n,Lima,Portada de Maravillas,,239x182,Foto de grabado,no,no,si,no,no,no,no,no
176,ELE-0155,Fotografía,Documento,s/a,s/f,b/n,Lima,Plano de Lima,,193x145,"Foto del plano, ver donde está publicado",no,no,no,no,no,no,no,no
177,ELE-0156,Fotografía,Evento social,s/a,1914,b/n,París,Funerales de Jorge Chávez Dardnell,,227x146,Foto de publicación,no,no,no,no,no,no,no,no
178,ELE-0157,Fotografía,Documento,s/a,s/f,b/n,s/l,"Diseño de la primera bandera del Perú, tal como fue concebida en Paracas en 1820",,184x165,Foto de publicación,no,no,si,no,no,no,no,no
179,ELE-0158,Fotografía,Evento social,s/a,1908,b/n,s/l,"Banda de la artillería en la inauguración de la máquina para fabricar seda, en la hacienda Matalechuzita, propiedad de Gustava Badt, el 2 de febrero de 1908",,226x141,Foto de publicación,no,no,si,no,no,no,no,no
180,ELE-0159,Fotografía,Monumento,s/a,1874,b/n,Parque Universitario,"Reloj fabricado por Pedro Ruiz Gallo, que marcaba: hora, día, mes, estaciones, lunas, años, bisiestos; a las doce del día salían unos soldados presentando armas y tocaba el Himno Nacional.",,180x240,,no,no,no,no,no,no,no,no
181,ELE-0160,Fotografía,Paisaje,s/a,s/f,b/n,Arica,El morro de Arica antes del terremoto de 1868. Se aprecia un aspecto del puerto,,218x159,Foto de publicación,no,no,no,no,no,no,no,no
182,ELE-0161,Fotografía,Personaje,s/a,s/f,b/n,s/l,Retrato del Inca Garcilaso de la Vega,,180x240,Foto de pintura,no,no,no,no,no,no,si,no
183,ELE-0162,Fotografía,Estampa costumbrista,s/a,1920,b/n,s/l,Corso de carnavales en la Plaza Mayor de Lima. Se aprecia el Portal de Escribanos y la Municipalidad,,240x169,,no,no,no,no,no,no,no,no
184,ELE-0163,Fotografía,Vida cotidiana,s/a,1911,b/n,s/l,Loa hangares del Bielovicic. Grupo de personas conversando frente a ellos.,,181x208,Foto de foto,no,no,no,no,no,no,no,no
185,ELE-0164,Fotografía,Edificio público,s/a,s/f,b/n,Lima,Salón de Actos de la Universidad Nacional Mayor de San Marcos,,226x138,Foto de grabado,no,no,no,no,no,no,no,no
186,ELE-0165,Fotografía,Vida política,s/a,1911,b/n,Lima,Estudiantes congregados en un patio de la Universidad de San Marcos durante disturbios estudiantiles,,238x179,Foto de publicación,no,no,no,no,no,no,no,no
187,ELE-0166,Fotografía,Edificio público,s/a,s/f,b/n,Parque Universitario,Vista general de la Universidad Nacional Mayor de San Marcos (casona),,234x180,Foto de foto,no,no,no,no,no,no,no,no
188,ELE-0167,Fotografía,Vida política,s/a,1872,b/n,Plaza Mayor de Lima,Turbas frente a la catedral de Lima durante la revolución de los hermanos Gutiérrez,,160x218,Foto de grabado,no,no,no,no,no,no,no,no
189,ELE-0168,Fotografía,Vida política,s/a,1872,b/n,Plaza Mayor de Lima,Hermanos Gutiérrez colgados en la torre de la catedral de Lima,,159x219,Foto de grabado,no,no,no,no,no,no,no,no
190,ELE-0169,Fotografía,Vida política,s/a,1872,b/n,Lima,Barricadas en la Calle de Coca durante la revolución de los hermanos Gutiérrez,,220x159,Foto de grabado,no,no,no,no,no,no,no,no
191,ELE-0170,Fotografía,Vida política,s/a,1872,b/n,Lima,Barricadas en la Calle de Coca durante la revolución de los hermanos Gutiérrez,,165x108,Foto de grabado,no,no,no,no,no,no,no,no
192,ELE-0171,Fotografía,Vida política,s/a,1872,b/n,Plaza Mayor,Revolución de los hermanos Gutiérrez. Turbas arrastrando los cadáveres de dichos hermanos en la Palza Mayor,,164x108,Foto de grabado. Ver: ELE-132,no,no,no,no,no,no,no,no
193,ELE-0172,Fotografía,Vida política,s/a,1895,sepia,Plazuela el Teatro,"Barricadas, tropas y civiles en la calle Plazuela del Teatro durante la revolución de Piérola",,214x164,,no,no,no,no,no,no,no,no
194,ELE-0173,Fotografía,Vida política,s/a,1872,b/n,Lima,Turbas en la calle de Coca durante la revolución de los hermanos Gutiérrez,,218x132,Foto de grabado,no,no,no,no,no,no,no,no
195,ELE-0174,Fotografía,Vida política,s/a,1909-May.-29,b/n,Lima-Jr. de la Unión,"El presidente Augusto B. Leguía, el Gral. Clemand, el Cmte. Gómez, desfilando por la calle Mercaderes, después de la revuelta encabezada por Isaías y Carlos de Piérola en que intentan que Leguía dimita de su cargo. Conocido como ""El día del carácter""",,221x118,Foto de publicación,no,no,no,no,no,no,no,no
196,ELE-0175,Fotografía,Vida política,s/a,1895-Mar.-17,b/n,Lima,Entrada de Piérola a Lima por la portada de Cocharcas,,231x174,Foto del cuadro de Lepiani,no,no,si,no,no,no,no,no
197,ELE-0176,Fotografía,Vida política,s/a,1895,b/n,Lima,Entrada de Piérola a Lima por la portada de Cocharcas,,239x180,Foto del cuadro del pintor Ruiloba. Ver: ELE-177,no,no,no,no,no,no,no,no
198,ELE-0177,Fotografía,Vida política,s/a,1895,sepia,Lima,Entrada de Piérola a Lima por la portada de Cocharcas,,193x145,Foto del cuadro del pintor Ruiloba. Ver: ELE-176,no,no,no,no,no,no,no,no
199,ELE-0178,Fotografía,Vida política,s/a,1909-May.-29,sepia,Lima,"Turba en calle limeña durante la revuelta de los hermanos Isaías y Carlos de Piérola, quienes asaltan el palacio de Gobierno e intentan que Leguía firme su dimisión al poder. Día conocido como ""El día del carácter""",,235x150,,no,no,no,no,no,no,no,no
201,ELE-0179,Fotografía,Vida política,s/a,1904,b/n,Lima,"Aspecto de la manifestación de la Alianza Civil Constitucional Cívica, encabezada por José Pardo. (adelante a la izquierda)",,145x209,Ver fotografía nº de ingreso 200,no,no,no,no,no,no,no,no
200,ELE-0179,Fotografía,Vida política,s/a,1904,b/n,Lima,"Aspecto de la manifestación de la Alianza Civil Constitucional Cívica, encabezada por José Pardo. (adelante a la izquierda)",,147x202,,no,no,no,no,no,no,no,no
202,ELE-0180,Fotografía,Vida política,s/a,1908,b/n,Plaza Mayor de Lima,Reunión cívica en la Plaza de Armas de Lima durante el gobierno de José Pardo. Se aprecia la fachada del Palacio de Gobierno,,241x180,,no,no,no,no,no,no,no,no
203,ELE-0181,Fotografía,Vida política,s/a,1893,sepia,Lima,Tropas de Cáceres en la Plazuela de Santa Catalina,,230x172,,no,no,si,no,no,no,no,no
204,ELE-0182,Fotografía,Vida cotidiana,s/a,1885,sepia,Lima. Jr. Ica,"Procesión de la Virgen de las Mercedes. Calle Plateros de San Agustín. Se aprecia la torre de la iglesia de San Agustín, hoy desaparecida",,147x203,Ver: Col. Fotográfica,no,no,no,no,no,no,no,no
205,ELE-0183,Fotografía,Arte,s/a,1890,b/n,Lima,Esculturas de la Alameda de los Descalzos,,199x142,Ver: ELE-141,no,no,no,no,no,no,no,no
206,ELE-0184,Fotografía,Personaje,s/a,1928,b/n,s/l,"Retrato de monseñor Pedro Farfán Pascual de los Godos. De cuerpo entero, sentado",,175x240,Fotografía de un cuadro,no,no,no,no,no,no,no,no
207,ELE-0185,Fotografía,Vista panorámica,s/a,s/f,sepia,Lima,"Vista general del río Rímac, puente de Piedra, iglesia de los Desamparados y el arco del Puente.",,241x182,,si,no,no,no,no,no,no,no
209,ELE-0186,Fotografía,Vida política,s/a,1895,b/n,Lima,Tropas de Cáceres defendiendo el Palacio de Gobierno durante la revolución de Piérola,,218x154,Foto de publicación,no,no,si,no,no,no,no,no
210,ELE-0187,Fotografía,Plaza y Parque,s/a,1884,b/n,Plaza Mayor de Lima,"Aspecto de la Plaza de Armas en la esquina que forman las calles Correo y Palacio. Se aprecian la Municipalidad, el Palacio de Gobierno y la torre de Santo Domingo",,240x181,,no,no,no,no,no,no,no,no
211,ELE-0188,Fotografía,Edificio público,s/a,1860,b/n,Plaza Mayor de Lima,"Vista general de la Municipalidad de Lima, el portal de Escribanos, la pila de la plaza  y la torre de la iglesia de Santo Domingo",,217x160,Foto de foto,no,no,no,no,no,no,no,no
212,ELE-0188,Fotografía,Edificio público,s/a,1860,b/n,Plaza Mayor de Lima,"Vista general de la Municipalidad de Lima, el portal de Escribanos, la pila de la plaza  y la torre de la iglesia de Santo Domingo",,229x173,Foto de foto. Ver fotografía nº de ingreso 211,no,no,no,no,no,no,no,no
213,ELE-0189,Fotografía,Edificio público,s/a,1860,sepia,Plaza Mayor de Lima,Aspecto del Palacio de Gobierno y los cajones de Ribera,,180x239,Foto de foto,no,no,no,no,no,no,no,no
214,ELE-0190,Fotografía,Edificio público,s/a,1860,b/n,Plaza Mayor de Lima,Aspecto del Palacio de Gobierno y los cajones de Ribera,,180x239,Foto de foto,si,no,no,no,no,no,no,no
215,ELE-0191,Fotografía,Edificio público,s/a,1860,sepia,Plaza Mayor de Lima,Aspecto del Palacio de Gobierno y los cajones de Ribera,,165x212,Foto de foto,si,no,si,no,no,no,no,no
216,ELE-0192,Fotografía,Edificio público,s/a,1860,sepia,Plaza Mayor de Lima,"Aspecto del Palacio de Gobierno, los cajones de Ribera y el Palacio Arzobispal",,205x151,Foto de foto,no,no,si,no,no,no,no,no
217,ELE-0192,Fotografía,Edificio público,s/a,1860,b/n,Plaza Mayor de Lima,"Aspecto del Palacio de Gobierno, los cajones de Ribera y el Palacio Arzobispal",,239x146,Foto de foto. Ver fotografía nº de ingreso 216,no,no,no,no,no,no,no,no
220,ELE-0193,Fotografía,Edificio religioso,s/a,1858,sepia,Plaza Mayor de Lima,"Vista general del Palacio Arzobispal, al fondo las torres y cúpula de la iglesia de San Francisco",,227x155,Foto de grabado. Ver fotografía nº de ingreso 218,no,no,no,no,no,no,no,no
218,ELE-0193,Fotografía,Edificio religioso,s/a,1858,sepia,Plaza Mayor de Lima,"Vista general del Palacio Arzobispal, al fondo las torres y cúpula de la iglesia de San Francisco",,240x165,Foto de grabado,no,no,no,no,no,no,no,no
219,ELE-0193,Fotografía,Edificio religioso,s/a,1858,sepia,Plaza Mayor de Lima,"Vista general del Palacio Arzobispal, al fondo las torres y cúpula de la iglesia de San Francisco",,218x150,Foto de grabado. Ver fotografía nº de ingreso 218,no,no,no,no,no,no,no,no
221,ELE-0194,Fotografía,Evento social,s/a,1885,b/n,Plaza Mayor de Lima,"Personas en la Plaza Mayor de Lima. Se aprecia el antiguo Palacio Arzobispal, el balcón de la Casa del Oidor y al fondo la fachada de la estación de Desamparados",,180x239,,no,no,no,no,no,no,no,no
222,ELE-0195,Fotografía,Iglesia,s/a,1898,b/n,Plaza Mayor de Lima,"Aspecto de la Plaza Mayor de Lima donde se aprecia el conjunto formado por la Catedral, el Palacio Arzobispal y la iglesia del Sagrario; asimismo un aspecto del Palacio de Gobierno",,240x179,,no,no,no,no,no,no,no,no
223,ELE-0196,Fotografía,Iglesia,s/a,1821,b/n,Plaza Mayor de Lima,"Vista general de la Catedral de Lima y la iglesia del Sagrario, se aprecian la pila y un aspecto del Portal de Botoneros",,220x146,Foto de grabado,no,no,no,no,no,no,no,no
224,ELE-0197,Fotografía,Plaza y Parque,s/a,1874,b/n,Plaza Mayor de Lima,Pila de la Plaza Mayor,,176x203,Foto de publicación,no,no,si,no,no,no,no,no
225,ELE-0198,Fotografía,Edificio religioso,s/a,s.XVII,b/n,Plaza Mayor de Lima,Fachada del antiguo Palacio Arzobispal,,180x240,Foto de dibujo,no,no,no,no,no,no,no,no
226,ELE-0199,Fotografía,Edificio público,s/a,s/f.,b/n,Plaza Mayor de Lima,Aspecto de los cajones de ribera del Palacio de Gobierno,,180x240,Foto de dibujo,no,no,no,no,no,no,no,no
227,ELE-0200,Fotografía,Edificio público,s/a,s/f.,b/n,Plaza Mayor de Lima,Aspecto de los cajones de ribera del Palacio de Gobierno,,238x180,Foto de dibujo,no,no,no,no,no,no,no,no
228,ELE-0201,Fotografía,Edificio religioso,s/a,1860,sepia,Plaza Mayor de Lima,"Fachada del antiguo Palacio Arzobispal, se aprecia un aspecto de los cajones de ribera del Palacio de Gobierno",,232x174,Foto de grabado,no,no,si,no,no,no,no,no
229,ELE-0201,Fotografía,Edificio religioso,s/a,1860,b/n,Plaza Mayor de Lima,"Fachada del antiguo Palacio Arzobispal, se aprecia un aspecto de los cajones de ribera del Palacio de Gobierno",,240x180,Foto de grabado. Ver fotografía nº de ingreso 228,no,no,no,no,no,no,no,no
230,ELE-0202,Fotografía,Plaza y Parque,s/a,1908,b/n,Plaza Mayor de Lima,"Pilón de agua en la Plaza Mayor, se aprecia una caleza a caballo, vendedores de dulces y al fondo un aspecto de la fachada del Palacio de Gobierno",,180x239,,no,no,no,no,no,no,no,no
232,ELE-0204,Fotografía,Transporte,s/a,1860,b/n,Plaza Mayor de Lima,Estación de calezas a caballo junto a pilón de agua en la Plaza Mayor,,127x236,Foto de foto,no,no,no,no,no,no,no,no
233,ELE-0205,Fotografía,Iglesia,s/a,s/f.,b/n,Plaza Mayor de Lima,Vista general de la Catedral de Lima y de la iglesia del Sagrario,,218x161,Foto de grabado,no,no,no,no,no,no,no,no
236,ELE-0207,Fotografía,Edificio público,s/a,1874,sepia,Plaza Mayor de Lima,Fachada de la antigua Municipalidad,,238x179,Ver fotografía nº de ingreso 235,no,no,no,no,no,no,no,no
235,ELE-0207,Fotografía,Edificio público,s/a,1874,sepia,Plaza Mayor de Lima,Fachada de la antigua Municipalidad,,239x180,,no,no,si,no,no,no,no,no
237,ELE-0208,Fotografía,Edificio público,s/a,s/f.,b/n,Plaza Mayor de Lima,"Fachada del antiguo Palacio de Gobierno, visto desde el atrio de la Catedral",,239x180,,no,no,no,no,no,no,no,no
238,ELE-0209,Impreso,Iglesia,s/a,s/f.,sepia,Plaza Mayor de Lima,"Vista general de la Catedral, el Palacio Arzobispal y la iglesia del Sagrario, desde la calle Correo",,289x210,Dice: Foto Casals. Diagramación Bracamonte. Impresión Artes Gráficas S.A.,no,no,no,no,no,no,no,no
239,ELE-0210,Fotografía,Edificio público,s/a,1905,b/n,Hoy Campo de Marte,Hipódromo de Santa Beatriz. Vista general,,169x110,,si,no,no,no,no,no,no,no
240,ELE-0211,Fotografía,Edificio público,s/a,1906,b/n,Hoy Campo de Marte,Espectadores en la tribuna oficial (gala) del Hipódromo de Santa Beatriz,,220x158,,no,no,no,no,no,no,no,no
241,ELE-0212,Fotografía,Edificio público,s/a,1905,b/n,Hoy Campo de Marte,Grupo de personas en el Hipódromo de Santa Beatriz durante las carreras en homenaje al Gral. Roque Sáenz Peña,,221x159,,no,no,si,no,no,no,no,no
242,ELE-0213,Fotografía,Edificio público,s/a,1900,b/n,Hoy Campo de Marte,Hipódromo de Santa Beatriz. Tribunas y coches a caballo.,,227x162,Foto de foto,no,no,no,no,no,no,no,no
243,ELE-0214,Fotografía,Edificio público,s/a,1928,b/n,Hoy Campo de Marte,Hipódromo de Santa Beatriz. Aspecto de las tribunas,,219x146,Foto de foto,no,no,si,no,no,no,no,no
244,ELE-0215,Fotografía,Evento social,s/a,1908,b/n,Hoy Campo de Marte,Carreras en el Hipódromo de Santa Beatriz,,238x180,,no,no,no,no,no,no,no,no
245,ELE-0216,Fotografía,Evento social,s/a,1905,b/n,Hoy Campo de Marte,Tribunas del Hipódromo de Santa Beatriz llenas del público asistente a las carreras de gala,,220x161,,no,no,si,no,no,no,no,no
246,ELE-0217,Fotografía,Edificio público,s/a,1909,sepia,Hoy Campo de Marte,Hipódromo de Santa Beatriz,,217x156,,no,no,no,no,no,no,no,no
247,ELE-0218,Fotografía,Personaje,s/a,1902,b/n,Lima,Señoritas Garland en el Parque de la Exposición,,218x159,,no,no,si,no,no,no,no,no
248,ELE-0219,Fotografía,Plaza y Parque,s/a,1874,b/n,Lima,Puente y laguna del Parque de la Exposición,,240x180,,no,no,no,no,no,no,no,no
249,ELE-0220,Fotografía,Plaza y Parque,s/a,1900,b/n,Lima,"Puente, jardines y laguna del Parque de la Exposición",,240x180,,no,no,no,no,no,no,no,no
250,ELE-0221,Fotografía,Plaza y Parque,s/a,1900,b/n,Lima,Laguna y puente del Parque de la Exposición,,219x159,,no,no,no,no,no,no,no,no
251,ELE-0222,Fotografía,Plaza y Parque,s/a,1900,b/n,Lima,Laguna del Parque de la Exposición. Se aprecian  diferentes tipos de aves,,240x180,,no,no,no,no,no,no,no,no
252,ELE-0223,Fotografía,Calle,s/a,1900,sepia,Lima,Vista general de Paseo Colón. Se aprecia un aspecto de la fachada del Palacio de la Exposición (hoy Museo de Arte de Lima),,204x253,,no,no,no,no,no,no,no,no
253,ELE-0224,Fotografía,Edificio público,s/a,1905,b/n,Lima,Vista general del Palacio de la Exposición (hoy Museo de Arte de Lima) durante la llegada del presidente Pardo,,214x154,,no,no,no,no,no,no,no,no
